test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,trial_block_1.thisRepN,trial_block_1.thisTrialN,trial_block_1.thisN,trial_block_1.thisIndex,Inst_1.started,Inst_1.stopped,key_resp_inst_1.keys,key_resp_inst_1.rt,key_resp_inst_1.started,key_resp_inst_1.stopped,Clear_screen.started,Clear_screen.stopped,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,test_resp.keys,test_resp.rt,test_resp.started,test_resp.stopped,Inst_2.started,Inst_2.stopped,key_resp_inst_2.keys,key_resp_inst_2.rt,key_resp_inst_2.started,key_resp_inst_2.stopped,Bodziec.started,Bodziec.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,6.521446200000355,None,space,1.0375888000016857,6.521446200000355,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Jul_03_1328,untitled,3.1.2,60.07467281824064,
0,0,0,0,,,,,,,,,,,7.575363100000686,None,9.591537899999821,None,10.074835400002485,None,space,0.3003141000008327,10.074835400002485,None,,,,,,,,,,,,,,,1,001,2019_Jul_03_1328,untitled,3.1.2,60.07467281824064,
1,0,1,0,,,,,,,,,,,,,11.407723200001783,None,11.8910051999992,None,space,0.21695059999910882,11.8910051999992,None,,,,,,,,,,,,,,,1,001,2019_Jul_03_1328,untitled,3.1.2,60.07467281824064,
2,0,2,0,,,,,,,,,,,,,13.140794700000697,None,13.624020700000983,None,space,0.2834949999996752,13.624020700000983,None,,,,,,,,,,,,,,,1,001,2019_Jul_03_1328,untitled,3.1.2,60.07467281824064,
3,0,3,0,,,,,,,,,,,,,14.940196800002013,None,15.423515000002226,None,space,0.2336563999997452,15.423515000002226,None,,,,,,,,,,,,,,,1,001,2019_Jul_03_1328,untitled,3.1.2,60.07467281824064,
4,0,4,0,,,,,,,,,,,,,16.68981419999909,None,17.173141100000066,None,space,0.2505240999998932,17.173141100000066,None,,,,,,,,,,,,,,,1,001,2019_Jul_03_1328,untitled,3.1.2,60.07467281824064,
5,0,5,0,,,,,,,,,,,,,18.456168900000193,None,18.939268199999788,None,space,0.16707640000095125,18.939268199999788,None,,,,,,,,,,,,,,,1,001,2019_Jul_03_1328,untitled,3.1.2,60.07467281824064,
6,0,6,0,,,,,,,,,,,,,20.138971799999126,None,20.622357300002477,None,space,0.1503021999997145,20.622357300002477,None,,,,,,,,,,,,,,,1,001,2019_Jul_03_1328,untitled,3.1.2,60.07467281824064,
7,0,7,0,,,,,,,,,,,,,21.805853800000477,None,22.288566800001718,None,space,0.1501695999977528,22.288566800001718,None,,,,,,,,,,,,,,,1,001,2019_Jul_03_1328,untitled,3.1.2,60.07467281824064,
8,0,8,0,,,,,,,,,,,,,23.471548699999403,None,23.954822800002148,None,space,0.18354870000257506,23.954822800002148,None,,,,,,,,,,,,,,,1,001,2019_Jul_03_1328,untitled,3.1.2,60.07467281824064,
9,0,9,0,,,,,,,,,,,,,25.17113529999915,None,25.654730800000834,None,space,0.23319569999875966,25.654730800000834,None,,,,,,,,,,,,,,,1,001,2019_Jul_03_1328,untitled,3.1.2,60.07467281824064,
,,,,,,,,,,,,,,,,,,,,,,,,26.920702400002483,None,space,2.3669818000016676,26.920702400002483,None,,,,,,,,,1,001,2019_Jul_03_1328,untitled,3.1.2,60.07467281824064,
,,,,0,0,0,0,,,,,,,,,30.319860899999185,None,,,,,,,,,,,,,30.80324280000059,31.053184899999906,space,0.3002243000009912,30.80324280000059,None,31.218366400000377,None,1,001,2019_Jul_03_1328,untitled,3.1.2,60.07467281824064,
,,,,1,0,1,0,,,,,,,,,34.135735300002125,None,,,,,,,,,,,,,34.61880970000129,34.868768600001204,space,0.533738699999958,34.61880970000129,None,35.191053500002454,None,1,001,2019_Jul_03_1328,untitled,3.1.2,60.07467281824064,
,,,,2,0,2,0,,,,,,,,,38.18480239999917,None,,,,,,,,,,,,,38.667934299999615,None,space,0.21697470000071917,38.667934299999615,None,38.9205002000017,None,1,001,2019_Jul_03_1328,untitled,3.1.2,60.07467281824064,
,,,,3,0,3,0,,,,,,,,,41.917035500002385,None,,,,,,,,,,,,,42.40029440000217,None,space,0.18381520000184537,42.40029440000217,None,42.61982650000209,None,1,001,2019_Jul_03_1328,untitled,3.1.2,60.07467281824064,
,,,,4,0,4,0,,,,,,,,,45.61627700000099,None,,,,,,,,,,,,,46.099364000001515,46.349342100002104,space,0.25014309999824036,46.099364000001515,None,46.386777300001995,None,1,001,2019_Jul_03_1328,untitled,3.1.2,60.07467281824064,
